id,name,review_count,categories,subcate,rate,location,phone,latitude,longitude
20,"Cooper Hewitt, Smithsonian Design Museum",218,Museums,Museums,4.0,2 E 91st St,(212) 849-8400,40.7844,-73.9578
21,The Noguchi Museum,118,Museums,Art Tours,4.5,9-01 33rd Rd,(718) 204-7088,40.7668,-73.9383
22,Mmuseumm,7,Museums,Museums,5.0,4 Cortlandt Aly,(888) 763-8839,40.7173,-74.0028
23,Houdini Museum,15,Museums,Museums,5.0,213 W 35th St,(212) 244-3633,40.752,-73.9908
24,Museum of the City of New York,230,Museums,Museums,4.0,1220 5th Ave,(212) 534-1672,40.7925,-73.9519
25,The Morgan Library & Museum,252,Museums,Libraries,4.5,225 Madison Ave,(212) 685-0008,40.7491,-73.9818
26,Museum of Arts and Design,150,Museums,Museums,4.0,2 Columbus Cir,(212) 299-7777,40.7675,-73.982
27,New York Hall Of Science,216,Museums,Museums,4.0,47-01 111th St,(718) 699-0005,40.7478,-73.8522
28,Queens Museum,139,Museums,Museums,4.0,New York City Building,(718) 592-9700,40.7456,-73.8469
29,Voelker Orth Museum,10,Museums,Museums,4.5,14919 38th Ave,(718) 359-6227,40.7647,-73.8162
30,New Museum of Contemporary Art,340,Museums,Museums,3.0,235 Bowery,(212) 219-1222,40.7223,-73.9928
31,The Museum at Fit,94,Museums,Museums,4.5,7TH Ave 27th St,(212) 217-4558,40.7466,-73.9937
32,Merchant's House Museum,74,Museums,Museums,4.5,29 E 4th St,(212) 777-1089,40.7275,-73.9925
33,The City Reliquary,34,Museums,Museums,4.0,370 Metropolitan Ave,(718) 782-4842,40.7138,-73.9557
34,New-York Historical Society,172,Museums,Libraries,4.0,170 Central Park W,(212) 873-3400,40.7794,-73.9741
35,National Museum of the American Indian,159,Museums,Museums,4.0,1 Bowling Grn,(212) 514-3700,40.7045,-74.0142
36,The THNK1994 Museum,5,Museums,Art Galleries,4.0,1436 Atlantic Ave,(347) 334-0946,40.678,-73.9445
37,Gulliver's Gate,121,Museums,Museums,4.5,216 W 44th St,(212) 235-2016,40.7576,-73.9869
38,MoMA PS1,328,Museums,Museums,4.0,22-25 Jackson Ave,(718) 784-2084,40.7455,-73.9474
39,Museum of Chinese in America,134,Museums,Museums,4.5,215 Centre St,(212) 619-4785,40.7194,-73.9991
40,A Night at the Museum,4,Museums,Museums,5.0,American Museum Of Natural History,(212) 769-5100,40.7789,-73.9684
41,Nicholas Roerich Museum,23,Museums,Museums,4.5,319 W Ave 107th St,(212) 864-7752,40.8029,-73.969
42,Intrepid Sea Air & Space Museum,447,Museums,Museums,4.0,W 46th St And 12th Ave,(212) 245-0072,40.7645,-73.9996
43,Museum of Illusions,20,Museums,Museums,3.5,77 8th Ave,(212) 645-3230,40.7397,-74.003
44,Bushwick Loft Museum,2,Museums,Museums,4.5,255 Mckibbin St,,40.706,-73.9372
45,Neue Galerie New York,223,Museums,Museums,3.5,1048 5th Ave,(212) 628-6200,40.7813,-73.9603
46,Brooklyn Historical Society DUMBO,4,Museums,Museums,5.0,55 Water St,(718) 222-4111,40.7036,-73.9916
47,BLDG 92,18,Museums,Museums,4.5,63 Flushing Ave,(718) 907-5992,40.6982,-73.9735
48,The Met Breuer,63,Museums,Art Museums,4.0,945 Madison Ave,(212) 731-1675,40.7735,-73.964
49,Louis Armstrong House Museum,46,Museums,Museums,5.0,34-56 107th St,(718) 478-8274,40.7546,-73.8615
50,The Toy Museum of NY,7,Museums,Museums,3.0,"Brooklyn, NY 11201",(718) 243-0820,40.6947,-73.9899
51,Newark Museum,60,Museums,Museums,4.0,49 Washington St,(973) 596-6550,40.7431,-74.1717
52,House Of Wax,66,Museums,Cocktail Bars,4.5,445 Albee Square W,(929) 382-5403,40.6912,-73.9833
53,The Jewish Museum,97,Museums,Museums,4.0,1109 5th Ave,(212) 423-3200,40.7853,-73.9573
54,Bronx Museum of the Arts,49,Museums,Museums,4.0,1040 Grand Concourse,(718) 681-6000,40.831,-73.9197
55,Smithsonian Institution,1,Museums,Museums,5.0,1 Bowling Green,(212) 514-3700,40.7046,-74.0143
56,Studio Museum Harlem,45,Museums,Art Museums,4.0,144 W 125th St,(212) 864-4500,40.8084,-73.9475
57,Fairy Island,5,Museums,Art Museums,4.0,152 Lexington Ave,,40.7437,-73.9819
58,Museum of Jewish Heritage - A Living Memorial to the Holocaust,72,Museums,Museums,4.0,36 Battery Pl,(646) 437-4202,40.706,-74.0185
59,MoRA The Museum of Russian Art,3,Museums,Museums,4.5,80 Grand St,(917) 921-1003,40.7155,-74.0371
60,Chelsea Galleries,7,Museums,Museums,5.0,"New York, NY",,40.7478,-74.0061
61,Museum Hack,114,Museums,Tours,5.0,"New York, NY 10028",(800) 210-9676,40.776,-73.952
62,Coney Island Museum,23,Museums,Museums,4.0,1208 Surf Ave,(718) 372-5159,40.5754,-73.9798
63,Ground Zero Museum Workshop,43,Museums,Museums,4.5,420 W 14th St,(212) 924-1040,40.7412,-74.0067
64,National Museum of Mathematics,122,Museums,Museums,3.0,11 E 26th St,(212) 542-0566,40.7434,-73.9872
65,Dyckman Farmhouse Museum,21,Museums,Museums,4.0,4881 Broadway,(212) 304-9422,40.8674,-73.9229
66,Ellis Island Immigration Museum,320,Museums,Museums,4.5,Ellis Island,(212) 363-3200,40.6987,-74.0395
67,Waterfront Museum,7,Museums,Museums,5.0,290 Conover St,(718) 624-4719,40.6753,-74.0178
68,Museum Of Pizza,31,Museums,Museums,3.0,55 Wythe Ave,,40.7223,-73.9567
69,Candytopia,65,Museums,Museums,3.5,145 W 32nd St,,40.7493,-73.9903
70,Fraunces Tavern Museum,34,Museums,Museums,4.5,54 Pearl St,(212) 425-1778,40.7034,-74.0114
71,The National Jazz Museum In Harlem,7,Museums,Museums,3.5,58 W 129th St,(212) 348-8300,40.8099,-73.9431
72,Mount Vernon Hotel Museum & Garden,21,Museums,Museums,4.0,421 E 61st St,(212) 838-6878,40.7603,-73.9592
73,Liberty Science Center,275,Museums,Museums,4.0,222 Jersey City Blvd,(201) 200-1000,40.7083,-74.0545
74,Montclair Art Museum,48,Museums,Art Museums,4.0,3 S Mountain Ave,(973) 746-5555,40.8184,-74.2245
75,"Modern Pinball NYC Arcade, Party Place & Museum",224,Museums,Arcades,4.5,362 3rd Ave,(646) 653-0839,40.7411,-73.9819
76,Institute For the Study of the Ancient World,7,Museums,Museums,4.5,15 E 84th St,(212) 992-7800,40.78,-73.9602
77,Brooklyn Children's Museum,155,Museums,Children's Museums,4.0,145 Brooklyn Ave,(718) 735-4400,40.6745,-73.9439
78,9/11 Tribute Museum,203,Museums,Museums,4.5,92 Greenwich St,(866) 737-1184,40.7114,-74.0125
79,The Bedford Stuyvesant Museum of African Art,1,Museums,Cultural Center,5.0,1157 Bedford Ave,(646) 338-2748,40.6839,-73.9538
80,Van Cortlandt House Museum,6,Museums,Museums,4.5,Van Cortlandt Park - 242 St,(718) 543-3344,40.8894,-73.8984
81,Alice Austen House Museum,21,Museums,Museums,4.5,2 Hylan Blvd,(718) 816-4506,40.615,-74.0631
82,American Folk Art Museum,69,Museums,Art Museums,4.0,2 Lincoln Sq,(212) 595-9533,40.7732,-73.9816
83,Mana Contemporary,21,Museums,Art Galleries,4.5,888 Newark Ave,(201) 604-2702,40.737,-74.0687
84,Museum of Reclaimed Urban Space - MoRUS,8,Museums,Museums,4.0,155 Avenue C,(646) 340-8341,40.7258,-73.9779
85,National Lighthouse Museum,9,Museums,Museums,4.5,200 The Promenade at Lighthouse Point,(718) 390-0040,40.6407,-74.0735
86,Society of Illustrators,45,Museums,Museums,4.5,128 E 63rd St,(212) 838-2560,40.7647,-73.9669
87,Sugar Hill Children's Museum of Art & Storytelling,6,Museums,Children's Museums,5.0,898 St Nicholas Ave At 155th St,(212) 335-0004,40.8306,-73.9413
88,NYC Fire Museum,58,Museums,Museums,4.0,278 Spring St,(212) 691-1303,40.7257,-74.007
89,Jacques Marchais Museum of Tibetan Art,20,Museums,Museums,4.0,338 Lighthouse Ave,(718) 987-3500,40.5763,-74.1384
90,Bartow-Pell Mansion Museum,15,Museums,Museums,3.5,895 Shore Rd,(718) 885-1461,40.8719,-73.8055
91,The Neustadt Collection of Tiffany Glass,1,Museums,Art Museums,5.0,526 46th Ave,(718) 361-8489,40.747,-73.9543
92,Staten Island Museum at Snug Harbor,10,Museums,Museums,4.0,1000 Richmond Ter,(718) 727-1135,40.6446,-74.1027
93,Norwood Museum,2,Museums,Art Museums,5.0,22-12 119th St,(347) 884-0388,40.7796,-73.8493
94,Fantasma Magic,45,Museums,Hobby Shops,4.5,213 West 35th St,(212) 244-3633,40.7521,-73.9907
95,Brooklyn Botanic Garden,709,Museums,Botanical Gardens,4.5,990 Washington Ave,(718) 623-7200,40.6693,-73.9633
96,South Street Seaport Museum,19,Museums,Museums,3.5,12 Fulton St,(212) 748-8600,40.7066,-74.0037
97,City Island Nautical Museum,7,Museums,Museums,4.0,190 Fordham St,(718) 885-0008,40.8473,-73.7845
98,The Old Stone House,17,Museums,Museums,4.0,336 3rd St,(718) 768-3195,40.6733,-73.9844
99,Yelp Night at the Museum,12,Museums,Art Museums,5.0,1 Museum Dr,,40.8075,-73.6351
100,Liberty Hall Museum,17,Museums,Landmarks & Historical Buildings,4.0,1003 Morris Ave,(908) 527-0400,40.6787,-74.2281
101,Hip Hop Scriptures,2,Museums,Museums,5.0,"Manhattan, NY 10032",(609) 431-0193,40.841,-73.9448
102,Cradle of Aviation Museum,71,Museums,Museums,4.0,Charles Lindbergh Blvd,(516) 572-4111,40.7285,-73.5973
103,International Center of Photography Museum,26,Museums,Museums,3.0,250 Bowery,(212) 857-0000,40.7231,-73.9934
104,Enrico Caruso Museum of America,1,Museums,Museums,5.0,1942 E 19th St,(718) 368-3993,40.6029,-73.9536
105,Hudson River Museum,20,Museums,Museums,4.0,511 Warburton Ave,(914) 963-4550,40.9537,-73.8962
106,Lenny's Creations,2,Museums,Museums,5.0,16 Rector St,(718) 759-7344,40.6367,-74.1279
107,Color Factory,100,Museums,Art Museums,3.5,251 Spring St,,40.7258,-74.0054
108,Madame Tussauds New York,529,Museums,Museums,4.0,234 W 42nd St,(866) 841-3505,40.7566,-73.9886
109,Museum of Contemporary African Diasporan Arts - MoCADA,13,Museums,Museums,3.5,80 Hanson Pl,(718) 230-0492,40.6854,-73.9744
110,Asia Society and Museum,61,Museums,Museums,4.0,725 Park Ave,(212) 288-6400,40.7699,-73.9643
111,Hoboken Historical Museum,8,Museums,Museums,3.5,1301 Hudson St,(201) 656-2240,40.7523,-74.0252
112,The Iris and B. Gerald Cantor Roof Garden,41,Museums,Bars,4.0,1000 Fifth Ave Upper E Side,(212) 535-7710,40.7787,-73.9645
113,Tibet House US,30,Museums,Museums,4.5,22 W 15th St,(212) 807-0563,40.7371,-73.9946
114,Staten Island Childrens Museum,46,Museums,Museums,4.0,1000 Richmond Ter,(718) 273-2060,40.6436,-74.102
115,The New York Earth Room,50,Museums,Museums,4.0,141 Wooster St,(212) 473-8072,40.726,-73.9999
116,Clayton Gallery and Outlaw Art Museum,1,Museums,Art Museums,5.0,161 Essex St,(212) 477-1363,40.7214,-73.9871
117,Heart for Art Institute,4,Museums,Art Tours,5.0,"New York, NY 10019",(646) 249-3926,40.7651,-73.9851
118,Brooklyn Historical Society,28,Museums,Museums,4.0,128 Pierrepont St,(718) 222-4111,40.6948,-73.9924
119,SonicVision at the Hayden Planetarium,4,Museums,Planetarium,4.5,79 Street And Central Park W,(212) 769-5200,40.7799,-73.971
120,King Manor Museum,7,Museums,Landmarks & Historical Buildings,3.5,King Park,(718) 206-0545,40.703,-73.8038
121,Sculpture Center,13,Museums,Art Galleries,4.0,4419 Purves St,(718) 361-1750,40.7469,-73.9411
122,Manhattan Aquariums,50,Museums,Aquarium Services,4.0,522 W 37th St,(212) 594-2272,40.7502,-73.9958
123,Lewis H Latimer House Museum,4,Museums,Museums,4.5,34-41 137th St,(718) 961-8585,40.7663,-73.8295
124,Nassau County Museum of Art,42,Museums,Art Museums,4.0,1 Museum Dr,(516) 484-9337,40.8075,-73.6351
125,Gracie Mansion,32,Museums,Museums,4.5,E 88th St,(212) 676-3060,40.7763,-73.9434
126,Rose Center for Earth and Space,32,Museums,Museums,4.0,200 Central Park W,(212) 769-5200,40.7816,-73.9732
127,Oculus,223,Museums,Landmarks & Historical Buildings,4.0,World Trade Center Transportation Hub,,40.7115,-74.0114
128,Hayden Planetarium,80,Museums,Planetarium,4.0,Central Park West At 79th St,(212) 769-5100,40.7818,-73.9738
129,Judd Foundation,5,Museums,Art Museums,4.5,101 Spring St,(212) 219-2747,40.7235,-73.9994
130,AIGA,6,Museums,Education,4.5,164 5th Ave,(212) 807-1990,40.7407,-73.9907
131,Lambert Castle,13,Museums,Museums,4.0,3 Valley Rd,(973) 247-0085,40.9001,-74.1729
132,Holographic Studios,9,Museums,Art Galleries,5.0,240 E 26th St,(212) 686-9397,40.7398,-73.9802
133,Arthur Ross Terrace,1,Museums,Museums,5.0,56-98 W 81st St,,40.7826,-73.9735
134,The New York Academy of Medicine,4,Museums,Libraries,4.5,1216 5th Ave,(212) 822-7200,40.792,-73.9529
135,Maritime Museum,1,Museums,Museums,5.0,6 Pennyfield Ave,(718) 409-7218,40.8093,-73.802
136,Yeshiva University Museum,5,Museums,Museums,4.0,15 W 16th St,(212) 294-8330,40.738,-73.9939
137,Vander Ende-Onderdonk House,11,Museums,Landmarks & Historical Buildings,4.5,1820 Flushing Ave,(718) 456-1776,40.7112,-73.9198
138,Children's Museum of Manhattan,189,Museums,Party & Event Planning,3.0,212 W 83rd St,(212) 721-1223,40.7859,-73.9773
139,Living Torah Museum,1,Museums,Museums,5.0,1603 41st St,(718) 851-3215,40.6356,-73.9805
140,Center for Architecture,14,Museums,Museums,3.5,536 LaGuardia Pl,(212) 683-0023,40.7288,-73.9985
141,Italian American Museum,18,Museums,Museums,2.0,155 Mulberry St,(212) 965-9000,40.7193,-73.9975
142,Ukrainian Museum,13,Museums,Museums,3.5,222 E 6th St,(212) 228-0110,40.7277,-73.9898
143,New York Botanical Garden,589,Museums,Botanical Gardens,4.5,2900 Southern Blvd,(718) 817-8700,40.8624,-73.8769
144,Willoughby Windows,2,Museums,Art Museums,4.5,"Brooklyn, NY",,40.6921,-73.9849
145,ArtWise,2,Museums,Art Galleries,5.0,135 Plymouth St,(718) 788-0791,40.7038,-73.9883
146,Garibaldi-Meucci Memorial Museum,4,Museums,Museums,4.0,420 Tompkins Ave,(718) 442-1608,40.6152,-74.0738
147,DJ Gatsby & Dapper Sounds,18,Museums,DJs,5.0,115 4th Ave,(516) 967-5138,40.7327,-73.9894
148,Noble Maritime Collection,7,Museums,Museums,4.0,1000 Richmond Ter,(718) 447-6490,40.6455,-74.1019
149,Morris-Jumel Mansion,42,Museums,Museums,4.5,65 Jumel Ter,(212) 923-8008,40.8345,-73.9385
150,"Fordham Museum of Greek, Etruscan and Roman Art",1,Museums,Museums,3.0,441 E Fordham Rd,(718) 817-3590,40.8607,-73.8893
151,The Paterson Museum,9,Museums,Education,4.5,2 Market St,(973) 321-1260,40.9137,-74.1792
152,Leslie-Lohman Museum of Gay and Lesbian Art,15,Museums,Art Galleries,4.0,26 Wooster St,(212) 431-2609,40.7216,-74.0031
153,Circle Museum Sculpture Park,5,Museums,Art Galleries,4.5,Rt 22,(518) 392-7156,42.1651,-73.5168
154,Rock Hall Museum,5,Museums,Museums,4.5,199 Broadway,(516) 239-1157,40.6111,-73.7347
155,Metropolitan Museum Of Art Customer Service,1,Museums,Museums,3.0,6626 Metropolitan Ave,(800) 662-3397,40.7116,-73.8923
156,Museum of American Illustration,1,Museums,Museums,4.0,128 E 63rd St,(212) 838-2560,40.7648,-73.9669
157,Museum Mile Festival,13,Museums,Performing Arts,3.5,5TH Ave From 82nd St To 105th St,,40.7764,-73.9529
158,Ripley's Believe It or Not! Time Square,253,Museums,Museums,3.5,234 W 42nd St,(212) 398-3133,40.7567,-73.989
159,Shady Ladies Tours,5,Museums,Art Tours,5.0,1202 Lexington Ave,(646) 201-4848,40.7767,-73.9579
160,Greater Astoria Historical Society,3,Museums,Museums,4.5,3520 Broadway,(718) 278-0700,40.76,-73.9218
161,Floating Mountain,26,Museums,Tea Rooms,5.0,239 W 72nd St,(646) 852-6555,40.7794,-73.983
162,NuFrame Gallery,3,Museums,Art Galleries,5.0,109 W 10th St,(646) 850-0164,40.7349,-73.9991
163,Lilac Lighthouse Tender,4,Museums,Museums,5.0,Hudson River Greenway,(917) 709-5291,40.7206,-74.0139
164,Skyscraper Museum,47,Museums,Museums,2.5,39 Battery Pl,(212) 968-1961,40.7057,-74.0177
165,Feltville Historic District,6,Museums,Landmarks & Historical Buildings,4.5,9 Cataract Hollow Rd,(908) 789-3682,40.6818,-74.3874
166,ArtWorld,19,Museums,Art Galleries,5.0,103-07 Metropolitan Ave,(718) 793-7200,40.7105,-73.8495
167,Alice In Wonderland Sculpture,33,Museums,Landmarks & Historical Buildings,4.5,E 74th St And 5th Ave,,40.775,-73.9667
168,Hall of Fame for Great Americans,6,Museums,Museums,4.0,2070 Sedgwick Ave,(718) 289-5146,40.8578,-73.9157
169,Children's Museum of the Arts,70,Museums,Children's Museums,3.5,103 Charlton St,(212) 274-0986,40.7275,-74.0081
170,Nippon Club,6,Museums,Cultural Center,5.0,145 W 57th St,(212) 581-2223,40.7653,-73.9787
171,Thomas Edison Center at Menlo Park,11,Museums,Museums,3.5,37 Christie St,(732) 549-3299,40.5624,-74.3399
172,Wyckoff Farmhouse Museum,3,Museums,Museums,4.0,5816 Clarendon Rd,(718) 629-5400,40.6444,-73.9208
173,Alley Pond Environmental Center,24,Museums,Museums,4.5,228-06 Northern Blvd,(718) 229-4000,40.762,-73.7536
174,Bayside Historical Society,3,Museums,Museums,3.5,208 Totten Ave,(718) 352-1548,40.7926,-73.7794
175,Science Museum of Long Island,2,Museums,Summer Camps,4.5,1526 Plandome Rd,(516) 627-9400,40.8149,-73.7025
176,Oscar Wilde Tours,7,Museums,Historical Tours,5.0,1202 Lexington Ave,(646) 560-3205,40.7767,-73.9579
177,Onassis Cultural Center,10,Museums,Museums,4.0,645 Fifth Ave,(212) 486-4448,40.7591,-73.9764
178,Woodward Gallery,5,Museums,Art Galleries,5.0,132A Eldridge St,(212) 966-3411,40.7189,-73.9915
179,The Jewish Children's Museum,5,Museums,Children's Museums,3.5,792 Eastern Pkwy,(718) 467-0600,40.6689,-73.942
180,Van Cortland House,1,Museums,Landmarks & Historical Buildings,4.0,246th Street and Broadway,(718) 543-3344,40.893,-73.9141
181,The New York Chinese Scholar's Garden,38,Museums,Botanical Gardens,4.5,1000 Richmond Ter,(718) 425-3504,40.642,-74.1043
182,Twin Lights Historical Site,15,Museums,Museums,4.5,Lighthouse Rd,(732) 872-1814,40.3963,-73.9858
183,The Drawing Center,7,Museums,Museums,4.0,35 Wooster St,(212) 219-2166,40.7225,-74.0029
184,New Jersey Historical Society,2,Museums,Museums,5.0,52 Park Pl,(973) 596-8500,40.7388,-74.1685
185,Ellis Island,79,Museums,Landmarks & Historical Buildings,4.5,"New York, NY 10004",,40.7045,-74.0115
186,Aviation Hall of Fame,2,Museums,Museums,4.0,400 Fred Wehran Dr,(201) 288-6344,40.8536,-74.0543
187,Heart of the Art NYC,5,Museums,Scavenger Hunts,5.0,"New York, NY 11215",(718) 644-5789,40.6687,-73.9818
188,NJ Naval Museum,2,Museums,Museums,5.0,78 River St,,40.8804,-74.0415
189,The Unisphere,77,Museums,Landmarks & Historical Buildings,4.5,11101 Corona Ave,(718) 760-6565,40.7464,-73.845
190,Staten Island September 11 Memorial,11,Museums,Landmarks & Historical Buildings,5.0,Bank St,,40.6469,-74.0895
191,Theodore Roosevelt Birthplace National Historic Site,55,Museums,Landmarks & Historical Buildings,4.5,28 E 20th St,(212) 260-1616,40.739,-73.9891
192,Yogi Berra Museum and Learning Center,12,Museums,Museums,4.5,8 Yogi Berra Dr,(973) 655-2378,40.8683,-74.1945
193,Long Island Children's Museum,89,Museums,Museums,4.0,11 Davis Ave,(516) 224-5800,40.7279,-73.6017
194,Dahesh Museum of Art,1,Museums,Museums,4.0,178 E 64th St,(212) 759-0606,40.7648,-73.9652
195,ARTHOUSE.NYC,26,Museums,Art Galleries,4.5,79-81 White St,(800) 420-5590,40.7175,-74.0024
196,Museum of Maritime Navigation and Communication,1,Museums,Museums,5.0,1208 Bay St,(718) 748-1717,40.6136,-74.0661
197,Paley Center For Media,49,Museums,Museums,3.5,25 W 52nd St,(212) 621-6880,40.7605,-73.9777
198,"Grey Art Gallery, NYU",9,Museums,Art Galleries,3.5,100 Washington Sq E,(212) 998-6780,40.7303,-73.996
199,Grammy Museum Experience Prudential Center,5,Museums,Museums,3.5,25 Lafayette St,(973) 757-6600,40.7336,-74.1702
200,Garvies Point Museum & Preserve,11,Museums,Museums,4.5,50 Barry Dr,(516) 571-8010,40.8611,-73.6511
201,Conference House,12,Museums,Museums,4.0,7455 Hylan Blvd,(718) 984-6046,40.5032,-74.2533
202,Gagosian,18,Museums,Art Galleries,4.0,522 W 21st St,(212) 741-1717,40.7468,-74.0065
203,David Zwirner,99,Museums,Art Galleries,4.0,525 W 19th St,(212) 727-2070,40.7458,-74.007
204,Jubilee Gallery,14,Museums,Art Galleries,5.0,117 Henry St,(718) 596-1499,40.6971,-73.9929
205,Flatiron Building,170,Museums,Landmarks & Historical Buildings,4.5,175 5th Ave,,40.741,-73.9897
206,El Museo Del Barrio,85,Museums,Art Galleries,3.5,1230 5th Ave,(212) 831-7272,40.7931,-73.9514
207,Fort Lee Museum,1,Museums,Museums,4.0,1588 Pallisade Ave,(201) 592-3580,40.8484,-73.9688
208,The Living Museum,4,Museums,Art Galleries,5.0,80-45 Winchester Blvd,(718) 264-3490,40.7368,-73.728
209,Butler Library,7,Museums,Libraries,4.5,535 W 114th St,(212) 854-7309,40.8062,-73.9633
210,New York Public Library,824,Museums,Libraries,4.5,476 Fifth Ave,(212) 340-0863,40.7532,-73.9823
211,Unix Gallery,4,Museums,Art Galleries,4.5,532 W 24th St,(212) 209-1572,40.749,-74.0053
212,Historic Richmond Town,20,Museums,Landmarks & Historical Buildings,4.0,441 Clarke Ave,(718) 351-1611,40.57,-74.1446
213,Westwood Gallery NYC,3,Museums,Art Galleries,5.0,262 Bowery,(212) 925-5700,40.7233,-73.9932
214,Nahmad Contemporary,1,Museums,Art Galleries,5.0,980 Madison Ave,(646) 449-9118,40.7748,-73.9635
215,Schomburg Center for Research in Black Culture,33,Museums,Libraries,4.5,515 Malcolm X Blvd,(212) 491-2200,40.8147,-73.9406
216,AFA,14,Museums,Art Galleries,4.5,54 Greene St,(212) 226-7374,40.7222,-74.0015
217,The Pace Gallery,15,Museums,Art Galleries,4.0,534 W 25th St,(212) 929-7000,40.7495,-74.005
218,Titanic Memorial Lighthouse,6,Museums,Landmarks & Historical Buildings,4.0,Pearl St And Fulton St,,40.7074,-74.0041
219,Big Apple Lansman Tours,3,Museums,Tours,5.0,"New York, NY 10010",(212) 481-1822,40.7392,-73.9829
220,PishPoshPaints,3,Museums,Art Galleries,4.0,917 Central Ave,(888) 577-7381,40.6086,-73.7475
221,Great Kills Park,3,Museums,Landmarks & Historical Buildings,4.5,Great Kills,,40.5488,-74.1269
222,Kehila Kedosha Janina Synagogue and Museum,2,Museums,Museums,4.0,280 Broome St,(212) 431-1619,40.7186,-73.9912
223,The Egg House,56,Museums,Pop-up Shops,2.0,195 Chrystie St,(609) 736-0528,40.7221,-73.992
224,Socrates Sculpture Park,174,Museums,Art Galleries,3.5,32-01 Vernon Blvd,(718) 956-1819,40.7686,-73.9358
225,The New York Aquarium,414,Museums,Aquariums,2.5,602 Surf Ave & W 8th St,(718) 265-3400,40.574,-73.9756
226,General Grant Memorial,71,Museums,Museums,4.5,W 122nd Street & Riverside Dr,(212) 666-1640,40.8125,-73.9631
227,Sams Art & Framing,32,Museums,Framing,5.0,14318 45th Ave,(718) 445-3980,40.7538,-73.8181
228,Snug Harbor Cultural Center,1,Museums,Museums,5.0,914 Richmond Ter,(718) 273-2060,40.6426,-74.1021
229,New York Art Tours,10,Museums,Art Tours,5.0,"Manhattan, NY 10001",(877) 839-4926,40.7537,-73.9992
230,The Sphere,10,Museums,Landmarks & Historical Buildings,5.0,165 Liberty St,,40.7105,-74.0139
231,Art Smart,2,Museums,Tours,5.0,217 W 18th St,(212) 595-4444,40.7416,-73.9988
232,Dahesh Museum of Art Gift Shop,3,Museums,Museums,3.5,145 6th Ave At Dominick St,(212) 759-0606,40.7251,-74.0049
233,Williamsburg Art & Historical Center,3,Museums,Museums,2.5,135 Broadway,(718) 486-7372,40.7105,-73.9636
234,Cathedral Church of St John the Divine,155,Museums,Churches,4.5,1047 Amsterdam Ave,(212) 316-7540,40.8037,-73.9631
235,The Proprietary House,5,Museums,Landmarks & Historical Buildings,5.0,149 Kearny Ave,(732) 826-5527,40.5035,-74.2689
236,Sandy Ground Historical Society,1,Museums,Landmarks & Historical Buildings,5.0,1538 Woodrow Rd,(718) 317-5796,40.541,-74.2165
237,The Painted Cloud,3,Museums,Venues & Event Spaces,4.5,168 Marcy Ave,(646) 675-7255,40.7089,-73.9579
238,Park Avenue Art Gallery,3,Museums,Art Galleries,5.0,439 Park Ave S,(212) 213-1645,40.7443,-73.983
239,Gossip Girl Tour,5,Museums,Tours,4.5,888 7th Ave,(855) 303-8353,40.7649,-73.9805
240,Boroughs of the Dead,48,Museums,Walking Tours,5.0,9 E 8th St,(917) 409-8533,40.6582,-73.9888
